TIME,PC,INSTRUCTION,OPCODE,FUNCT3,RS1,RS2,RD,JUMP_IF,ALU_OP,BRANCH_TAKEN,JUMP_ABS,REG_WRITE,MEM_READ,MEM_WRITE,MEM_TO_REG,IS_LOAD,IS_STORE,IS_ECALL,IS_BREAK,ALU_WIDTH_32,SIGNED_TYPE,ALU_USE_IMMED,DATA_SIZE,DATA_SIGN
33800750,0000000000024eec,00d777b3,OP_OP,7,0e,0d,0f,JUMP_NO,ALU_AND,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33800750,0000000000024eec,00d777b3,OP_OP,7,0e,0d,0f,JUMP_NO,ALU_AND,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33803500,0000000000024ef0,00d787b3,OP_OP,0,0f,0d,0f,JUMP_NO,ALU_ADD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33803500,0000000000024ef0,00d787b3,OP_OP,0,0f,0d,0f,JUMP_NO,ALU_ADD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33803750,0000000000024ef0,00d787b3,OP_OP,0,0f,0d,0f,JUMP_NO,ALU_ADD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33803750,0000000000024ef0,00d787b3,OP_OP,0,0f,0d,0f,JUMP_NO,ALU_ADD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33806500,0000000000024ef4,00d76733,OP_OP,6,0e,0d,0e,JUMP_NO,ALU_OR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33806500,0000000000024ef4,00d76733,OP_OP,6,0e,0d,0e,JUMP_NO,ALU_OR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33806750,0000000000024ef4,00d76733,OP_OP,6,0e,0d,0e,JUMP_NO,ALU_OR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33806750,0000000000024ef4,00d76733,OP_OP,6,0e,0d,0e,JUMP_NO,ALU_OR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33809500,0000000000024ef8,00e7e7b3,OP_OP,6,0f,0e,0f,JUMP_NO,ALU_OR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33809500,0000000000024ef8,00e7e7b3,OP_OP,6,0f,0e,0f,JUMP_NO,ALU_OR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33809750,0000000000024ef8,00e7e7b3,OP_OP,6,0f,0e,0f,JUMP_NO,ALU_OR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33809750,0000000000024ef8,00e7e7b3,OP_OP,6,0f,0e,0f,JUMP_NO,ALU_OR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33812500,0000000000024efc,fec784e3,OP_BRANCH,0,0f,0c,00,JUMP_ALU_EQZ,ALU_BEQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33812500,0000000000024efc,fec784e3,OP_BRANCH,0,0f,0c,00,JUMP_ALU_EQZ,ALU_BEQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33812750,0000000000024efc,fec784e3,OP_BRANCH,0,0f,0c,00,JUMP_ALU_EQZ,ALU_BEQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33812750,0000000000024efc,fec784e3,OP_BRANCH,0,0f,0c,00,JUMP_ALU_EQZ,ALU_BEQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33817000,0000000000024ee4,00850513,OP_OP_IMM,0,0a,00,0a,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
33817000,0000000000024ee4,00850513,OP_OP_IMM,0,0a,00,0a,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
33817250,0000000000024ee4,00850513,OP_OP_IMM,0,0a,00,0a,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
33817250,0000000000024ee4,00850513,OP_OP_IMM,0,0a,00,0a,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
33820000,0000000000024ee8,ff853703,OP_LOAD,3,0a,00,0e,JUMP_NO,ALU_LD,0,0,1,1,0,1,1,0,0,0,0,0,1,7,1
33820000,0000000000024ee8,ff853703,OP_LOAD,3,0a,00,0e,JUMP_NO,ALU_LD,0,0,1,1,0,1,1,0,0,0,0,0,1,7,1
33820250,0000000000024ee8,ff853703,OP_LOAD,3,0a,00,0e,JUMP_NO,ALU_LD,0,0,1,1,0,1,1,0,0,0,0,0,1,7,1
33820250,0000000000024ee8,ff853703,OP_LOAD,3,0a,00,0e,JUMP_NO,ALU_LD,0,0,1,1,0,1,1,0,0,0,0,0,1,7,1
33824000,0000000000024eec,00d777b3,OP_OP,7,0e,0d,0f,JUMP_NO,ALU_AND,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33824000,0000000000024eec,00d777b3,OP_OP,7,0e,0d,0f,JUMP_NO,ALU_AND,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33824250,0000000000024eec,00d777b3,OP_OP,7,0e,0d,0f,JUMP_NO,ALU_AND,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33824250,0000000000024eec,00d777b3,OP_OP,7,0e,0d,0f,JUMP_NO,ALU_AND,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33827000,0000000000024ef0,00d787b3,OP_OP,0,0f,0d,0f,JUMP_NO,ALU_ADD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33827000,0000000000024ef0,00d787b3,OP_OP,0,0f,0d,0f,JUMP_NO,ALU_ADD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33827250,0000000000024ef0,00d787b3,OP_OP,0,0f,0d,0f,JUMP_NO,ALU_ADD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33827250,0000000000024ef0,00d787b3,OP_OP,0,0f,0d,0f,JUMP_NO,ALU_ADD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33830000,0000000000024ef4,00d76733,OP_OP,6,0e,0d,0e,JUMP_NO,ALU_OR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33830000,0000000000024ef4,00d76733,OP_OP,6,0e,0d,0e,JUMP_NO,ALU_OR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33830250,0000000000024ef4,00d76733,OP_OP,6,0e,0d,0e,JUMP_NO,ALU_OR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33830250,0000000000024ef4,00d76733,OP_OP,6,0e,0d,0e,JUMP_NO,ALU_OR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33833000,0000000000024ef8,00e7e7b3,OP_OP,6,0f,0e,0f,JUMP_NO,ALU_OR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33833000,0000000000024ef8,00e7e7b3,OP_OP,6,0f,0e,0f,JUMP_NO,ALU_OR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33833250,0000000000024ef8,00e7e7b3,OP_OP,6,0f,0e,0f,JUMP_NO,ALU_OR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33833250,0000000000024ef8,00e7e7b3,OP_OP,6,0f,0e,0f,JUMP_NO,ALU_OR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33836000,0000000000024efc,fec784e3,OP_BRANCH,0,0f,0c,00,JUMP_ALU_EQZ,ALU_BEQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33836000,0000000000024efc,fec784e3,OP_BRANCH,0,0f,0c,00,JUMP_ALU_EQZ,ALU_BEQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33836250,0000000000024efc,fec784e3,OP_BRANCH,0,0f,0c,00,JUMP_ALU_EQZ,ALU_BEQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33836250,0000000000024efc,fec784e3,OP_BRANCH,0,0f,0c,00,JUMP_ALU_EQZ,ALU_BEQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33839000,0000000000024f00,ff854783,OP_LOAD,4,0a,00,0f,JUMP_NO,ALU_LBU,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
33839000,0000000000024f00,ff854783,OP_LOAD,4,0a,00,0f,JUMP_NO,ALU_LBU,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
33839250,0000000000024f00,ff854783,OP_LOAD,4,0a,00,0f,JUMP_NO,ALU_LBU,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
33839250,0000000000024f00,ff854783,OP_LOAD,4,0a,00,0f,JUMP_NO,ALU_LBU,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
33843000,0000000000024f04,40b505b3,OP_OP,0,0a,0b,0b,JUMP_NO,ALU_SUB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33843000,0000000000024f04,40b505b3,OP_OP,0,0a,0b,0b,JUMP_NO,ALU_SUB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33843250,0000000000024f04,40b505b3,OP_OP,0,0a,0b,0b,JUMP_NO,ALU_SUB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33843250,0000000000024f04,40b505b3,OP_OP,0,0a,0b,0b,JUMP_NO,ALU_SUB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33846000,0000000000024f08,06078463,OP_BRANCH,0,0f,00,00,JUMP_ALU_EQZ,ALU_BEQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33846000,0000000000024f08,06078463,OP_BRANCH,0,0f,00,00,JUMP_ALU_EQZ,ALU_BEQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33846250,0000000000024f08,06078463,OP_BRANCH,0,0f,00,00,JUMP_ALU_EQZ,ALU_BEQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33846250,0000000000024f08,06078463,OP_BRANCH,0,0f,00,00,JUMP_ALU_EQZ,ALU_BEQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33849000,0000000000024f0c,ff954783,OP_LOAD,4,0a,00,0f,JUMP_NO,ALU_LBU,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
33849000,0000000000024f0c,ff954783,OP_LOAD,4,0a,00,0f,JUMP_NO,ALU_LBU,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
33849250,0000000000024f0c,ff954783,OP_LOAD,4,0a,00,0f,JUMP_NO,ALU_LBU,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
33849250,0000000000024f0c,ff954783,OP_LOAD,4,0a,00,0f,JUMP_NO,ALU_LBU,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
33853000,0000000000024f10,04078c63,OP_BRANCH,0,0f,00,00,JUMP_ALU_EQZ,ALU_BEQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33853000,0000000000024f10,04078c63,OP_BRANCH,0,0f,00,00,JUMP_ALU_EQZ,ALU_BEQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33853250,0000000000024f10,04078c63,OP_BRANCH,0,0f,00,00,JUMP_ALU_EQZ,ALU_BEQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33853250,0000000000024f10,04078c63,OP_BRANCH,0,0f,00,00,JUMP_ALU_EQZ,ALU_BEQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33856000,0000000000024f14,ffa54783,OP_LOAD,4,0a,00,0f,JUMP_NO,ALU_LBU,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
33856000,0000000000024f14,ffa54783,OP_LOAD,4,0a,00,0f,JUMP_NO,ALU_LBU,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
33856250,0000000000024f14,ffa54783,OP_LOAD,4,0a,00,0f,JUMP_NO,ALU_LBU,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
33856250,0000000000024f14,ffa54783,OP_LOAD,4,0a,00,0f,JUMP_NO,ALU_LBU,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
33860000,0000000000024f18,06078063,OP_BRANCH,0,0f,00,00,JUMP_ALU_EQZ,ALU_BEQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33860000,0000000000024f18,06078063,OP_BRANCH,0,0f,00,00,JUMP_ALU_EQZ,ALU_BEQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33860250,0000000000024f18,06078063,OP_BRANCH,0,0f,00,00,JUMP_ALU_EQZ,ALU_BEQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33860250,0000000000024f18,06078063,OP_BRANCH,0,0f,00,00,JUMP_ALU_EQZ,ALU_BEQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33863000,0000000000024f1c,ffb54783,OP_LOAD,4,0a,00,0f,JUMP_NO,ALU_LBU,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
33863000,0000000000024f1c,ffb54783,OP_LOAD,4,0a,00,0f,JUMP_NO,ALU_LBU,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
33863250,0000000000024f1c,ffb54783,OP_LOAD,4,0a,00,0f,JUMP_NO,ALU_LBU,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
33863250,0000000000024f1c,ffb54783,OP_LOAD,4,0a,00,0f,JUMP_NO,ALU_LBU,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
33867000,0000000000024f20,06078063,OP_BRANCH,0,0f,00,00,JUMP_ALU_EQZ,ALU_BEQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33867000,0000000000024f20,06078063,OP_BRANCH,0,0f,00,00,JUMP_ALU_EQZ,ALU_BEQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33867250,0000000000024f20,06078063,OP_BRANCH,0,0f,00,00,JUMP_ALU_EQZ,ALU_BEQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33867250,0000000000024f20,06078063,OP_BRANCH,0,0f,00,00,JUMP_ALU_EQZ,ALU_BEQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33920000,0000000000024f80,ffb58513,OP_OP_IMM,0,0b,00,0a,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
33920000,0000000000024f80,ffb58513,OP_OP_IMM,0,0b,00,0a,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
33920250,0000000000024f80,ffb58513,OP_OP_IMM,0,0b,00,0a,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
33920250,0000000000024f80,ffb58513,OP_OP_IMM,0,0b,00,0a,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
33923000,0000000000024f84,00008067,OP_JALR,0,01,00,00,JUMP_YES,ALU_JALR,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
33923000,0000000000024f84,00008067,OP_JALR,0,01,00,00,JUMP_YES,ALU_JALR,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
33923250,0000000000024f84,00008067,OP_JALR,0,01,00,00,JUMP_YES,ALU_JALR,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
33923250,0000000000024f84,00008067,OP_JALR,0,01,00,00,JUMP_YES,ALU_JALR,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
33974000,0000000000015f94,b601b483,OP_LOAD,3,03,00,09,JUMP_NO,ALU_LD,0,0,1,1,0,1,1,0,0,0,0,0,1,7,1
33974000,0000000000015f94,b601b483,OP_LOAD,3,03,00,09,JUMP_NO,ALU_LD,0,0,1,1,0,1,1,0,0,0,0,0,1,7,1
33974250,0000000000015f94,b601b483,OP_LOAD,3,03,00,09,JUMP_NO,ALU_LD,0,0,1,1,0,1,1,0,0,0,0,0,1,7,1
33974250,0000000000015f94,b601b483,OP_LOAD,3,03,00,09,JUMP_NO,ALU_LD,0,0,1,1,0,1,1,0,0,0,0,0,1,7,1
33978000,0000000000015f98,10048063,OP_BRANCH,0,09,00,00,JUMP_ALU_EQZ,ALU_BEQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
