TIME,PC,INSTRUCTION,ALU_OP,OPERAND1,OPERAND2,RESULT,ZERO,ALU_32
1383000,0000000000029770,00000b13,ALU_ADDI,0000000000000000,0000000000000000,0000000000000000,1,0
1383000,0000000000029770,00000b13,ALU_ADDI,0000000000000000,0000000000000000,0000000000000000,1,0
1386000,0000000000029774,06013823,ALU_SD,000000003fbffde0,0000000000000070,000000003fbffe50,0,0
1386000,0000000000029774,06013823,ALU_SD,000000003fbffde0,0000000000000070,000000003fbffe50,0,0
1390000,0000000000029778,06013423,ALU_SD,000000003fbffde0,0000000000000068,000000003fbffe48,0,0
1390000,0000000000029778,06013423,ALU_SD,000000003fbffde0,0000000000000068,000000003fbffe48,0,0
1394000,000000000002977c,04013c23,ALU_SD,000000003fbffde0,0000000000000058,000000003fbffe38,0,0
1394000,000000000002977c,04013c23,ALU_SD,000000003fbffde0,0000000000000058,000000003fbffe38,0,0
1443000,0000000000029780,04013823,ALU_SD,000000003fbffde0,0000000000000050,000000003fbffe30,0,0
1443000,0000000000029780,04013823,ALU_SD,000000003fbffde0,0000000000000050,000000003fbffe30,0,0
1447000,0000000000029784,04013023,ALU_SD,000000003fbffde0,0000000000000040,000000003fbffe20,0,0
1447000,0000000000029784,04013023,ALU_SD,000000003fbffde0,0000000000000040,000000003fbffe20,0,0
1451000,0000000000029788,02013823,ALU_SD,000000003fbffde0,0000000000000030,000000003fbffe10,0,0
1451000,0000000000029788,02013823,ALU_SD,000000003fbffde0,0000000000000030,000000003fbffe10,0,0
1455000,000000000002978c,02013023,ALU_SD,000000003fbffde0,0000000000000020,000000003fbffe00,0,0
1455000,000000000002978c,02013023,ALU_SD,000000003fbffde0,0000000000000020,000000003fbffe00,0,0
1459000,0000000000029790,00013823,ALU_SD,000000003fbffde0,0000000000000010,000000003fbffdf0,0,0
1459000,0000000000029790,00013823,ALU_SD,000000003fbffde0,0000000000000010,000000003fbffdf0,0,0
1463000,0000000000029794,00000c13,ALU_ADDI,0000000000000000,0000000000000000,0000000000000000,1,0
1463000,0000000000029794,00000c13,ALU_ADDI,0000000000000000,0000000000000000,0000000000000000,1,0
1466000,0000000000029798,00000d13,ALU_ADDI,0000000000000000,0000000000000000,0000000000000000,1,0
1466000,0000000000029798,00000d13,ALU_ADDI,0000000000000000,0000000000000000,0000000000000000,1,0
1469000,000000000002979c,00000f13,ALU_ADDI,0000000000000000,0000000000000000,0000000000000000,1,0
1469000,000000000002979c,00000f13,ALU_ADDI,0000000000000000,0000000000000000,0000000000000000,1,0
1472000,00000000000297a0,00000313,ALU_ADDI,0000000000000000,0000000000000000,0000000000000000,1,0
1472000,00000000000297a0,00000313,ALU_ADDI,0000000000000000,0000000000000000,0000000000000000,1,0
1475000,00000000000297a4,00000893,ALU_ADDI,0000000000000000,0000000000000000,0000000000000000,1,0
1475000,00000000000297a4,00000893,ALU_ADDI,0000000000000000,0000000000000000,0000000000000000,1,0
1478000,00000000000297a8,00000593,ALU_ADDI,0000000000000000,0000000000000000,0000000000000000,1,0
1478000,00000000000297a8,00000593,ALU_ADDI,0000000000000000,0000000000000000,0000000000000000,1,0
1481000,00000000000297ac,01e00693,ALU_ADDI,0000000000000000,000000000000001e,000000000000001e,0,0
1481000,00000000000297ac,01e00693,ALU_ADDI,0000000000000000,000000000000001e,000000000000001e,0,0
1484000,00000000000297b0,0f070713,ALU_ADDI,0000000000076000,00000000000000f0,00000000000760f0,0,0
1484000,00000000000297b0,0f070713,ALU_ADDI,0000000000076000,00000000000000f0,00000000000760f0,0,0
1487000,00000000000297b4,ffd78793,ALU_ADDI,2f6465726168732f,fffffffffffffffd,2f6465726168732c,0,0
1487000,00000000000297b4,ffd78793,ALU_ADDI,2f6465726168732f,fffffffffffffffd,2f6465726168732c,0,0
1490000,00000000000297b8,02f6e263,ALU_BLTU,000000000000001e,2f6465726168732c,0000000000000001,0,0
1490000,00000000000297b8,02f6e263,ALU_BLTU,000000000000001e,2f6465726168732c,0000000000000001,0,0
1542000,00000000000297dc,01050513,ALU_ADDI,000000003fc00020,0000000000000010,000000003fc00030,0,0
1542000,00000000000297dc,01050513,ALU_ADDI,000000003fc00020,0000000000000010,000000003fc00030,0,0
1545000,00000000000297e0,00053783,ALU_LD,000000003fc00030,0000000000000000,000000003fc00030,0,0
1545000,00000000000297e0,00053783,ALU_LD,000000003fc00030,0000000000000000,000000003fc00030,0,0
1549000,00000000000297e4,fc0798e3,ALU_BNE,6f72702f73747365,0000000000000000,0000000000000001,0,0
1549000,00000000000297e4,fc0798e3,ALU_BNE,6f72702f73747365,0000000000000000,0000000000000001,0,0
1553500,00000000000297b4,ffd78793,ALU_ADDI,6f72702f73747365,fffffffffffffffd,6f72702f73747362,0,0
1553500,00000000000297b4,ffd78793,ALU_ADDI,6f72702f73747365,fffffffffffffffd,6f72702f73747362,0,0
1556500,00000000000297b8,02f6e263,ALU_BLTU,000000000000001e,6f72702f73747362,0000000000000001,0,0
