TIME,OP,PC,ADDR,SIZE,SIGN,DATA,HIT_MISS,SET,TAG,WAY,INSTRUCTION
20661000, READ,0000000000015f94,0000000000095c50,7,1,000000003fc00018, HIT,17,0000000000012b,1,b601b483
20661500, READ,0000000000015f94,0000000000095c50,7,1,000000003fc00018, HIT,17,0000000000012b,1,b601b483
20668000, READ,0000000000015f9c,0000000000076388,1,0,000000000000004c, HIT,14,000000000000ec,0,000a4683
20668500, READ,0000000000015f9c,0000000000076388,1,0,000000000000004c, HIT,14,000000000000ec,0,000a4683
20675000, READ,0000000000015fa4,0000000000076389,1,0,0000000000000044, HIT,14,000000000000ec,0,001a4783
20675500, READ,0000000000015fa4,0000000000076389,1,0,0000000000000044, HIT,14,000000000000ec,0,001a4783
20679000, READ,0000000000015fa8,000000003fc00018,7,1,0000000000000000, HIT,0,0000000007f800,1,0004b403
20679500, READ,0000000000015fa8,000000003fc00018,7,1,0000000000000000, HIT,0,0000000007f800,1,0004b403
20711500, READ,000000000001606c,000000003fbffe38,7,1,0000000000029d70, HIT,24,0000000007f7ff,1,03813083
20712000, READ,000000000001606c,000000003fbffe38,7,1,0000000000029d70, HIT,24,0000000007f7ff,1,03813083
20718500, READ,0000000000016074,000000003fbffe28,7,1,0000000000097000, HIT,24,0000000007f7ff,1,02813483
20719000, READ,0000000000016074,000000003fbffe28,7,1,0000000000097000, HIT,24,0000000007f7ff,1,02813483
20722500, READ,0000000000016078,000000003fbffe30,7,1,0000000000000001, HIT,24,0000000007f7ff,1,03013403
20723000, READ,0000000000016078,000000003fbffe30,7,1,0000000000000001, HIT,24,0000000007f7ff,1,03013403
20726500, READ,000000000001607c,000000003fbffe20,7,1,0000000000097000, HIT,24,0000000007f7ff,1,02013903
20727000, READ,000000000001607c,000000003fbffe20,7,1,0000000000097000, HIT,24,0000000007f7ff,1,02013903
20730500, READ,0000000000016080,000000003fbffe18,7,1,0000000000097000, HIT,24,0000000007f7ff,1,01813983
20731000, READ,0000000000016080,000000003fbffe18,7,1,0000000000097000, HIT,24,0000000007f7ff,1,01813983
20734500, READ,0000000000016084,000000003fbffe10,7,1,0000000000000000, HIT,24,0000000007f7ff,1,01013a03
20735000, READ,0000000000016084,000000003fbffe10,7,1,0000000000000000, HIT,24,0000000007f7ff,1,01013a03
20738500, READ,0000000000016088,000000003fbffe08,7,1,0000000000000000, HIT,24,0000000007f7ff,1,00813a83
20739000, READ,0000000000016088,000000003fbffe08,7,1,0000000000000000, HIT,24,0000000007f7ff,1,00813a83
20742500, READ,000000000001608c,000000003fbffe00,7,1,0000000000000000, HIT,24,0000000007f7ff,1,00013b03
20743000, READ,000000000001608c,000000003fbffe00,7,1,0000000000000000, HIT,24,0000000007f7ff,1,00013b03
20923000, READ,000000000004ead4,0000000000097080,7,1,0000000000000000, HIT,2,0000000000012e,1,0807b583
20923500, READ,000000000004ead4,0000000000097080,7,1,0000000000000000, HIT,2,0000000000012e,1,0807b583
20930000,WRITE,000000000004eadc,000000003fbffe10,7,1,0000000000000000, HIT,24,0000000007f7ff,1,01413823
20930500,WRITE,000000000004eadc,000000003fbffe10,7,1,0000000000000000, HIT,24,0000000007f7ff,1,01413823
20934000,WRITE,000000000004eae0,000000003fbffe08,7,1,0000000000000000, HIT,24,0000000007f7ff,1,01513423
20934500,WRITE,000000000004eae0,000000003fbffe08,7,1,0000000000000000, HIT,24,0000000007f7ff,1,01513423
20944000, READ,000000000004eaec,00000000000970b0,7,1,0000000000000000, HIT,2,0000000000012e,1,0b07b503
20944500, READ,000000000004eaec,00000000000970b0,7,1,0000000000000000, HIT,2,0000000000012e,1,0b07b503
20951000,WRITE,000000000004eaf4,000000003fbffe30,7,1,0000000000000001, HIT,24,0000000007f7ff,1,02813823
20951500,WRITE,000000000004eaf4,000000003fbffe30,7,1,0000000000000001, HIT,24,0000000007f7ff,1,02813823
21010500,WRITE,000000000004eb04,000000003fbffe38,7,1,0000000000029d74, HIT,24,0000000007f7ff,1,02113c23
21011000,WRITE,000000000004eb04,000000003fbffe38,7,1,0000000000029d74, HIT,24,0000000007f7ff,1,02113c23
21014500,WRITE,000000000004eb08,000000003fbffe28,7,1,0000000000097000, HIT,24,0000000007f7ff,1,02913423
21015000,WRITE,000000000004eb08,000000003fbffe28,7,1,0000000000097000, HIT,24,0000000007f7ff,1,02913423
21018500,WRITE,000000000004eb0c,000000003fbffe20,7,1,0000000000097000, HIT,24,0000000007f7ff,1,03213023
21019000,WRITE,000000000004eb0c,000000003fbffe20,7,1,0000000000097000, HIT,24,0000000007f7ff,1,03213023
