TIME,PC,INSTRUCTION,REG_A_CONTENTS,REG_B_CONTENTS,REGA_FINAL,REGB_FINAL,ALU_RESULT,JUMP_TARGET,JUMP_TAKEN,ALU_OP,ALU_OP_NAME,OPCODE,OPCODE_NAME,IMMEDIATE
1545500,00000000000297e0,00053783,000000003fc00030,0000000000000000,0000000000000000,000000003fc00030,0000000000000000,000000003fc00030,0000000000000000,0, 86,ALU_LD,  3,OP_LOAD,0000000000000000
1549500,00000000000297e4,fc0798e3,6f72702f73747365,0000000000000000,0000000000000000,6f72702f73747365,0000000000000000,0000000000000001,00000000000297b4,1, 61,ALU_BNE, 99,OP_BRANCH,ffffffffffffffd0
1554000,00000000000297b4,ffd78793,6f72702f73747365,0000000000000000,0000000000000000,6f72702f73747365,fffffffffffffffd,6f72702f73747362,0000000000000000,0, 18,ALU_ADDI, 19,OP_OP_IMM,fffffffffffffffd
1557000,00000000000297b8,02f6e263,000000000000001e,6f72702f73747362,6f72702f73747362,000000000000001e,6f72702f73747362,0000000000000001,00000000000297dc,1, 64,ALU_BLTU, 99,OP_BRANCH,0000000000000024
1561500,00000000000297dc,01050513,000000003fc00030,0000000000000000,0000000000000000,000000003fc00030,0000000000000010,000000003fc00040,0000000000000000,0, 18,ALU_ADDI, 19,OP_OP_IMM,0000000000000010
1564500,00000000000297e0,00053783,000000003fc00040,0000000000000000,0000000000000000,000000003fc00040,0000000000000000,000000003fc00040,0000000000000000,0, 86,ALU_LD,  3,OP_LOAD,0000000000000000
1615000,00000000000297e4,fc0798e3,0000000000003167,0000000000000000,0000000000000000,0000000000003167,0000000000000000,0000000000000001,00000000000297b4,1, 61,ALU_BNE, 99,OP_BRANCH,ffffffffffffffd0
1619500,00000000000297b4,ffd78793,0000000000003167,0000000000000000,0000000000000000,0000000000003167,fffffffffffffffd,0000000000003164,0000000000000000,0, 18,ALU_ADDI, 19,OP_OP_IMM,fffffffffffffffd
1622500,00000000000297b8,02f6e263,000000000000001e,0000000000003164,0000000000003164,000000000000001e,0000000000003164,0000000000000001,00000000000297dc,1, 64,ALU_BLTU, 99,OP_BRANCH,0000000000000024
1627000,00000000000297dc,01050513,000000003fc00040,0000000000000000,0000000000000000,000000003fc00040,0000000000000010,000000003fc00050,0000000000000000,0, 18,ALU_ADDI, 19,OP_OP_IMM,0000000000000010
1630000,00000000000297e0,00053783,000000003fc00050,0000000000000000,0000000000000000,000000003fc00050,0000000000000000,000000003fc00050,0000000000000000,0, 86,ALU_LD,  3,OP_LOAD,0000000000000000
1634000,00000000000297e4,fc0798e3,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0, 61,ALU_BNE, 99,OP_BRANCH,ffffffffffffffd0
1637000,00000000000297e8,280f1463,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0, 61,ALU_BNE, 99,OP_BRANCH,0000000000000288
1640000,00000000000297ec,000d0463,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000001,00000000000297f4,1, 60,ALU_BEQ, 99,OP_BRANCH,0000000000000008
1644500,00000000000297f4,000c0463,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000001,00000000000297fc,1, 60,ALU_BEQ, 99,OP_BRANCH,0000000000000008
1649000,00000000000297fc,000b0663,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000001,0000000000029808,1, 60,ALU_BEQ, 99,OP_BRANCH,000000000000000c
1699000,0000000000029808,01013783,000000003fbffde0,0000000000000000,0000000000000000,000000003fbffde0,0000000000000010,000000003fbffdf0,0000000000000000,0, 86,ALU_LD,  3,OP_LOAD,0000000000000010
1703000,000000000002980c,00078663,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000001,0000000000029818,1, 60,ALU_BEQ, 99,OP_BRANCH,000000000000000c
1707500,0000000000029818,02013783,000000003fbffde0,0000000000000000,0000000000000000,000000003fbffde0,0000000000000020,000000003fbffe00,0000000000000000,0, 86,ALU_LD,  3,OP_LOAD,0000000000000020
